Time	Sum	Command
10	10	--> not set -q __fish_git_prompt_color_cleanstate
8	17	-> if not set -q __fish_prompt_normal...
9	9	--> not set -q __fish_prompt_normal
16	16	-> set -l color_cwd
16	16	-> set -l prefix
14	14	-> set -l suffix
22	66	-> switch "$USER"...
27	27	--> set color_cwd $fish_color_cwd
17	17	--> set suffix '$'
28	28	-> set_color $color_cwd
60	528	-> echo -n (prompt_pwd)
132	468	--> prompt_pwd
26	26	---> set -l options 'h/help'
32	32	---> argparse -n prompt_pwd --max-args=0 $options -- $argv
8	20	---> if set -q _flag_help...
12	12	----> set -q _flag_help
10	10	---> set -q fish_prompt_pwd_dir_length
17	17	---> or set -l fish_prompt_pwd_dir_length 1
51	51	---> set realhome ~
63	114	---> set -l tmp (string replace -r '^'"$realhome"'($|/)' '~$1' $PWD)
51	51	----> string replace -r '^'"$realhome"'($|/)' '~$1' $PWD
13	66	---> if [ $fish_prompt_pwd_dir_length -eq 0 ]...
18	18	----> [ $fish_prompt_pwd_dir_length -eq 0 ]
35	35	----> string replace -ar '(\.?[^/]{'"$fish_prompt_pwd_dir_length"'})[^/]*/' '$1/' $tmp
18	18	-> set_color normal
60	31256	-> printf '%s ' (__fish_vcs_prompt)
45	31196	--> __fish_vcs_prompt
544	7298	---> __fish_git_prompt
9	88	----> if not command -sq git...
79	79	-----> not command -sq git
158	6633	----> set -l repo_info (command git rev-parse --git-dir --is-inside-git-dir --is-bare-repository --is-inside-work-tree HEAD ^/dev/null)
6475	6475	-----> command git rev-parse --git-dir --is-inside-git-dir --is-bare-repository --is-inside-work-tree HEAD ^/dev/null
26	26	----> test -n "$repo_info"
7	7	----> or return
530	635	---> __fish_hg_prompt
16	105	----> if not command -sq hg...
75	75	-----> not command -sq hg
14	14	-----> return 1
245	23218	---> __fish_svn_prompt
13	96	----> if not command -sq svn...
83	83	-----> not command -sq svn
152	22781	----> set -l checkout_info (command svn info ^/dev/null)
22629	22629	-----> command svn info ^/dev/null
18	96	----> if [ $status -ne 0 ]...
68	68	-----> [ $status -ne 0 ]
10	10	-----> return
11	36	-> if not test $last_status -eq 0...
25	25	--> not test $last_status -eq 0
21	21	-> echo -n "$suffix "
26	26	-> set_color normal
25	25	> echo $_ " "
45	122	> __fish_pwd
77	77	-> pwd
77	112	> __fish_disable_bracketed_paste 'cd ..'
35	35	-> printf "\e[?2004l"
31	31	> echo $_ " "
50	135	> __fish_pwd
85	85	-> pwd
379	31559	> cd ..
65	65	-> set -l MAX_DIR_HIST 25
15	177	-> if test (count $argv) -gt 1...
103	162	--> test (count $argv) -gt 1
59	59	---> count $argv
16	60	-> if status --is-command-substitution...
44	44	--> status --is-command-substitution
59	59	-> set -l previous $PWD
15	62	-> if test "$argv" = "-"...
47	47	--> test "$argv" = "-"
202	30470	-> builtin cd $argv
46	28162	--> __z_on_variable_pwd VARIABLE SET PWD
359	28116	---> __z_add
130	2384	----> set -l path (command dirname (status -f))
2232	2254	-----> command dirname (status -f)
22	22	------> status -f
102	146	----> for i in $Z_EXCLUDE...
10	44	-----> if contains -- $PWD $i...
34	34	------> contains -- $PWD $i
116	3133	----> set -l tmpfile (mktemp $Z_DATA.XXXXXX)
3017	3017	-----> mktemp $Z_DATA.XXXXXX
69	8582	----> if test -f $tmpfile...
43	43	-----> test -f $tmpfile
4195	6522	-----> command awk -v path="$PWD" -v now=(date +%s) -F "|" -f $path/zadd.awk $Z_DATA 2>/dev/null >$tmpfile
2327	2327	------> date +%s
23	138	-----> if test ! -z "$Z_OWNER"...
115	115	------> test ! -z "$Z_OWNER"
1810	1810	-----> command mv $tmpfile $Z_DATA
183	13512	----> __z_complete
900	12507	-----> set -l __z_marks (string replace -r '\|.*' '' < $Z_DATA | string escape)
11607	11607	------> string replace -r '\|.*' '' < $Z_DATA | string escape
446	446	-----> complete -c $Z_CMD -a "$__z_marks" -f
251	251	-----> complete -c $ZO_CMD -a "$__z_marks" -f
28	28	-----> complete -c $Z_CMD -s c -l clean  -d "Cleans out $Z_DATA"
17	17	-----> complete -c $Z_CMD -s e -l echo   -d "Prints best match, no cd"
16	16	-----> complete -c $Z_CMD -s l -l list   -d "List matches, no cd"
18	18	-----> complete -c $Z_CMD -s p -l purge  -d "Purges $Z_DATA"
16	16	-----> complete -c $Z_CMD -s r -l rank   -d "Searches by rank, cd"
16	16	-----> complete -c $Z_CMD -s t -l recent -d "Searches by recency, cd"
14	14	-----> complete -c $Z_CMD -s h -l help   -d "Print help"
60	2106	--> __update_cwd_osc VARIABLE SET PWD
8	34	---> if status --is-command-substitution...
16	16	----> status --is-command-substitution
10	10	----> or set -q INSIDE_EMACS
146	2012	---> printf \e\]7\;file://\%s\%s\a (hostname) (string escape --style=url $PWD)
1832	1832	----> hostname
34	34	----> string escape --style=url $PWD
39	39	-> set -l cd_status $status
33	228	-> if test $cd_status -eq 0 -a "$PWD" != "$previous"...
44	44	--> test $cd_status -eq 0 -a "$PWD" != "$previous"
21	21	--> set -q dirprev
28	28	--> set -q dirprev[$MAX_DIR_HIST]
48	48	--> set -g dirprev $dirprev $previous
27	27	--> set -e dirnext
27	27	--> set -g __fish_cd_direction prev
20	20	-> return $cd_status
34	52	> __fish_enable_bracketed_paste
18	18	-> printf "\e[?2004h"
26	259	> fish_mode_prompt
114	233	-> fish_default_mode_prompt
11	119	--> if test "$fish_key_bindings" = "fish_vi_key_bindings"...
88	88	---> test "$fish_key_bindings" = "fish_vi_key_bindings"
20	20	---> or test "$fish_key_bindings" = "fish_hybrid_key_bindings"
466	32840	> fish_prompt
28	28	-> set -l last_status $status
7	20	-> if not set -q __fish_git_prompt_show_informative_status...
13	13	--> not set -q __fish_git_prompt_show_informative_status
5	15	-> if not set -q __fish_git_prompt_hide_untrackedfiles...
10	10	--> not set -q __fish_git_prompt_hide_untrackedfiles
7	26	-> if not set -q __fish_git_prompt_color_branch...
19	19	--> not set -q __fish_git_prompt_color_branch
7	16	-> if not set -q __fish_git_prompt_showupstream...
9	9	--> not set -q __fish_git_prompt_showupstream
6	17	-> if not set -q __fish_git_prompt_char_upstream_ahead...
11	11	--> not set -q __fish_git_prompt_char_upstream_ahead
6	14	-> if not set -q __fish_git_prompt_char_upstream_behind...
8	8	--> not set -q __fish_git_prompt_char_upstream_behind
6	15	-> if not set -q __fish_git_prompt_char_upstream_prefix...
9	9	--> not set -q __fish_git_prompt_char_upstream_prefix
6	15	-> if not set -q __fish_git_prompt_char_stagedstate...
9	9	--> not set -q __fish_git_prompt_char_stagedstate
6	16	-> if not set -q __fish_git_prompt_char_dirtystate...
10	10	--> not set -q __fish_git_prompt_char_dirtystate
6	19	-> if not set -q __fish_git_prompt_char_untrackedfiles...
13	13	--> not set -q __fish_git_prompt_char_untrackedfiles
6	15	-> if not set -q __fish_git_prompt_char_conflictedstate...
9	9	--> not set -q __fish_git_prompt_char_conflictedstate
5	14	-> if not set -q __fish_git_prompt_char_cleanstate...
9	9	--> not set -q __fish_git_prompt_char_cleanstate
6	16	-> if not set -q __fish_git_prompt_color_dirtystate...
10	10	--> not set -q __fish_git_prompt_color_dirtystate
6	14	-> if not set -q __fish_git_prompt_color_stagedstate...
8	8	--> not set -q __fish_git_prompt_color_stagedstate
5	13	-> if not set -q __fish_git_prompt_color_invalidstate...
8	8	--> not set -q __fish_git_prompt_color_invalidstate
6	20	-> if not set -q __fish_git_prompt_color_untrackedfiles...
14	14	--> not set -q __fish_git_prompt_color_untrackedfiles
5	14	-> if not set -q __fish_git_prompt_color_cleanstate...
9	9	--> not set -q __fish_git_prompt_color_cleanstate
7	17	-> if not set -q __fish_prompt_normal...
10	10	--> not set -q __fish_prompt_normal
15	15	-> set -l color_cwd
15	15	-> set -l prefix
13	13	-> set -l suffix
21	60	-> switch "$USER"...
22	22	--> set color_cwd $fish_color_cwd
17	17	--> set suffix '$'
40	40	-> set_color $color_cwd
104	795	-> echo -n (prompt_pwd)
147	691	--> prompt_pwd
20	20	---> set -l options 'h/help'
29	29	---> argparse -n prompt_pwd --max-args=0 $options -- $argv
7	17	---> if set -q _flag_help...
10	10	----> set -q _flag_help
9	9	---> set -q fish_prompt_pwd_dir_length
14	14	---> or set -l fish_prompt_pwd_dir_length 1
77	77	---> set realhome ~
133	204	---> set -l tmp (string replace -r '^'"$realhome"'($|/)' '~$1' $PWD)
71	71	----> string replace -r '^'"$realhome"'($|/)' '~$1' $PWD
31	174	---> if [ $fish_prompt_pwd_dir_length -eq 0 ]...
48	48	----> [ $fish_prompt_pwd_dir_length -eq 0 ]
95	95	----> string replace -ar '(\.?[^/]{'"$fish_prompt_pwd_dir_length"'})[^/]*/' '$1/' $tmp
50	50	-> set_color normal
107	31005	-> printf '%s ' (__fish_vcs_prompt)
79	30898	--> __fish_vcs_prompt
832	6557	---> __fish_git_prompt
13	143	----> if not command -sq git...
130	130	-----> not command -sq git
107	5554	----> set -l repo_info (command git rev-parse --git-dir --is-inside-git-dir --is-bare-repository --is-inside-work-tree HEAD ^/dev/null)
5447	5447	-----> command git rev-parse --git-dir --is-inside-git-dir --is-bare-repository --is-inside-work-tree HEAD ^/dev/null
22	22	----> test -n "$repo_info"
6	6	----> or return
267	335	---> __fish_hg_prompt
10	68	----> if not command -sq hg...
50	50	-----> not command -sq hg
8	8	-----> return 1
144	23927	---> __fish_svn_prompt
8	66	----> if not command -sq svn...
58	58	-----> not command -sq svn
131	23676	----> set -l checkout_info (command svn info ^/dev/null)
23545	23545	-----> command svn info ^/dev/null
12	41	----> if [ $status -ne 0 ]...
23	23	-----> [ $status -ne 0 ]
6	6	-----> return
7	22	-> if not test $last_status -eq 0...
15	15	--> not test $last_status -eq 0
14	14	-> echo -n "$suffix "
21	21	-> set_color normal
14	14	> echo $_ " "
29	74	> __fish_pwd
45	45	-> pwd
74	214	> __fish_disable_bracketed_paste 'cd config'
140	140	-> printf "\e[?2004l"
63	63	> echo $_ " "
122	288	> __fish_pwd
166	166	-> pwd
623	41646	> cd config
101	101	-> set -l MAX_DIR_HIST 25
26	376	-> if test (count $argv) -gt 1...
176	350	--> test (count $argv) -gt 1
174	174	---> count $argv
28	160	-> if status --is-command-substitution...
132	132	--> status --is-command-substitution
108	108	-> set -l previous $PWD
31	172	-> if test "$argv" = "-"...
141	141	--> test "$argv" = "-"
459	39037	-> builtin cd $argv
62	30882	--> __z_on_variable_pwd VARIABLE SET PWD
478	30820	---> __z_add
200	4305	----> set -l path (command dirname (status -f))
4065	4105	-----> command dirname (status -f)
40	40	------> status -f
129	236	----> for i in $Z_EXCLUDE...
15	107	-----> if contains -- $PWD $i...
92	92	------> contains -- $PWD $i
110	2355	----> set -l tmpfile (mktemp $Z_DATA.XXXXXX)
2245	2245	-----> mktemp $Z_DATA.XXXXXX
98	9861	----> if test -f $tmpfile...
34	34	-----> test -f $tmpfile
5049	7438	-----> command awk -v path="$PWD" -v now=(date +%s) -F "|" -f $path/zadd.awk $Z_DATA 2>/dev/null >$tmpfile
2389	2389	------> date +%s
23	156	-----> if test ! -z "$Z_OWNER"...
133	133	------> test ! -z "$Z_OWNER"
2135	2135	-----> command mv $tmpfile $Z_DATA
260	13585	----> __z_complete
760	12713	-----> set -l __z_marks (string replace -r '\|.*' '' < $Z_DATA | string escape)
11953	11953	------> string replace -r '\|.*' '' < $Z_DATA | string escape
297	297	-----> complete -c $Z_CMD -a "$__z_marks" -f
205	205	-----> complete -c $ZO_CMD -a "$__z_marks" -f
22	22	-----> complete -c $Z_CMD -s c -l clean  -d "Cleans out $Z_DATA"
16	16	-----> complete -c $Z_CMD -s e -l echo   -d "Prints best match, no cd"
15	15	-----> complete -c $Z_CMD -s l -l list   -d "List matches, no cd"
17	17	-----> complete -c $Z_CMD -s p -l purge  -d "Purges $Z_DATA"
13	13	-----> complete -c $Z_CMD -s r -l rank   -d "Searches by rank, cd"
14	14	-----> complete -c $Z_CMD -s t -l recent -d "Searches by recency, cd"
13	13	-----> complete -c $Z_CMD -s h -l help   -d "Print help"
92	7696	--> __update_cwd_osc VARIABLE SET PWD
24	117	---> if status --is-command-substitution...
50	50	----> status --is-command-substitution
43	43	----> or set -q INSIDE_EMACS
325	7487	---> printf \e\]7\;file://\%s\%s\a (hostname) (string escape --style=url $PWD)
7081	7081	----> hostname
81	81	----> string escape --style=url $PWD
157	157	-> set -l cd_status $status
182	872	-> if test $cd_status -eq 0 -a "$PWD" != "$previous"...
251	251	--> test $cd_status -eq 0 -a "$PWD" != "$previous"
73	73	--> set -q dirprev
62	62	--> set -q dirprev[$MAX_DIR_HIST]
101	101	--> set -g dirprev $dirprev $previous
154	154	--> set -e dirnext
49	49	--> set -g __fish_cd_direction prev
40	40	-> return $cd_status
44	72	> __fish_enable_bracketed_paste
28	28	-> printf "\e[?2004h"
28	345	> fish_mode_prompt
132	317	-> fish_default_mode_prompt
11	185	--> if test "$fish_key_bindings" = "fish_vi_key_bindings"...
151	151	---> test "$fish_key_bindings" = "fish_vi_key_bindings"
23	23	---> or test "$fish_key_bindings" = "fish_hybrid_key_bindings"
454	29197	> fish_prompt
26	26	-> set -l last_status $status
7	18	-> if not set -q __fish_git_prompt_show_informative_status...
11	11	--> not set -q __fish_git_prompt_show_informative_status
6	15	-> if not set -q __fish_git_prompt_hide_untrackedfiles...
9	9	--> not set -q __fish_git_prompt_hide_untrackedfiles
5	14	-> if not set -q __fish_git_prompt_color_branch...
9	9	--> not set -q __fish_git_prompt_color_branch
6	15	-> if not set -q __fish_git_prompt_showupstream...
9	9	--> not set -q __fish_git_prompt_showupstream
5	14	-> if not set -q __fish_git_prompt_char_upstream_ahead...
9	9	--> not set -q __fish_git_prompt_char_upstream_ahead
5	14	-> if not set -q __fish_git_prompt_char_upstream_behind...
9	9	--> not set -q __fish_git_prompt_char_upstream_behind
6	14	-> if not set -q __fish_git_prompt_char_upstream_prefix...
8	8	--> not set -q __fish_git_prompt_char_upstream_prefix
6	15	-> if not set -q __fish_git_prompt_char_stagedstate...
9	9	--> not set -q __fish_git_prompt_char_stagedstate
5	13	-> if not set -q __fish_git_prompt_char_dirtystate...
8	8	--> not set -q __fish_git_prompt_char_dirtystate
6	14	-> if not set -q __fish_git_prompt_char_untrackedfiles...
8	8	--> not set -q __fish_git_prompt_char_untrackedfiles
5	13	-> if not set -q __fish_git_prompt_char_conflictedstate...
8	8	--> not set -q __fish_git_prompt_char_conflictedstate
6	14	-> if not set -q __fish_git_prompt_char_cleanstate...
8	8	--> not set -q __fish_git_prompt_char_cleanstate
5	14	-> if not set -q __fish_git_prompt_color_dirtystate...
9	9	--> not set -q __fish_git_prompt_color_dirtystate
5	13	-> if not set -q __fish_git_prompt_color_stagedstate...
8	8	--> not set -q __fish_git_prompt_color_stagedstate
6	14	-> if not set -q __fish_git_prompt_color_invalidstate...
8	8	--> not set -q __fish_git_prompt_color_invalidstate
5	14	-> if not set -q __fish_git_prompt_color_untrackedfiles...
9	9	--> not set -q __fish_git_prompt_color_untrackedfiles
5	13	-> if not set -q __fish_git_prompt_color_cleanstate...
8	8	--> not set -q __fish_git_prompt_color_cleanstate
5	14	-> if not set -q __fish_prompt_normal...
9	9	--> not set -q __fish_prompt_normal
14	14	-> set -l color_cwd
13	13	-> set -l prefix
13	13	-> set -l suffix
18	52	-> switch "$USER"...
19	19	--> set color_cwd $fish_color_cwd
15	15	--> set suffix '$'
56	56	-> set_color $color_cwd
72	596	-> echo -n (prompt_pwd)
154	524	--> prompt_pwd
21	21	---> set -l options 'h/help'
93	93	---> argparse -n prompt_pwd --max-args=0 $options -- $argv
7	18	---> if set -q _flag_help...
11	11	----> set -q _flag_help
10	10	---> set -q fish_prompt_pwd_dir_length
14	14	---> or set -l fish_prompt_pwd_dir_length 1
37	37	---> set realhome ~
57	100	---> set -l tmp (string replace -r '^'"$realhome"'($|/)' '~$1' $PWD)
43	43	----> string replace -r '^'"$realhome"'($|/)' '~$1' $PWD
10	77	---> if [ $fish_prompt_pwd_dir_length -eq 0 ]...
35	35	----> [ $fish_prompt_pwd_dir_length -eq 0 ]
32	32	----> string replace -ar '(\.?[^/]{'"$fish_prompt_pwd_dir_length"'})[^/]*/' '$1/' $tmp
16	16	-> set_color normal
49	27645	-> printf '%s ' (__fish_vcs_prompt)
237	27596	--> __fish_vcs_prompt
555	5278	---> __fish_git_prompt
10	90	----> if not command -sq git...
80	80	-----> not command -sq git
222	4594	----> set -l repo_info (command git rev-parse --git-dir --is-inside-git-dir --is-bare-repository --is-inside-work-tree HEAD ^/dev/null)
4372	4372	-----> command git rev-parse --git-dir --is-inside-git-dir --is-bare-repository --is-inside-work-tree HEAD ^/dev/null
32	32	----> test -n "$repo_info"
7	7	----> or return
413	494	---> __fish_hg_prompt
13	81	----> if not command -sq hg...
56	56	-----> not command -sq hg
12	12	-----> return 1
357	21587	---> __fish_svn_prompt
14	134	----> if not command -sq svn...
120	120	-----> not command -sq svn
133	21055	----> set -l checkout_info (command svn info ^/dev/null)
20922	20922	-----> command svn info ^/dev/null
11	41	----> if [ $status -ne 0 ]...
24	24	-----> [ $status -ne 0 ]
6	6	-----> return
8	22	-> if not test $last_status -eq 0...
14	14	--> not test $last_status -eq 0
14	14	-> echo -n "$suffix "
21	21	-> set_color normal
14	14	> echo $_ " "
35	82	> __fish_pwd
47	47	-> pwd
6682	10178	> source /usr/local/Cellar/fish/2.7.1/share/fish/completions/cat.fish
62	3496	-> if cat --version ^ /dev/null > /dev/null # GNU...
3125	3125	--> cat --version ^ /dev/null > /dev/null
114	114	--> complete -c cat -s b -d "Number non-blank lines"
55	55	--> complete -c cat -s e -d "Display non-printing characters, and `\$' at the end of each line"
28	28	--> complete -c cat -s n -d "Number all lines"
26	26	--> complete -c cat -s s -d "Single spaced output by squeezing adjacent empty lines"
26	26	--> complete -c cat -s t -d "Display non-printing characters, and tab characters as `^I'"
24	24	--> complete -c cat -s u -d "Disable output buffering"
36	36	--> complete -c cat -s v -d "Display non-printing characters so they're visible."
75	113	> __fish_disable_bracketed_paste 'cat conm'
38	38	-> printf "\e[?2004l"
33	33	> echo $_ " "
57	135	> __fish_pwd
78	78	-> pwd
3993	3993	> cat conm
68	140	> __fish_enable_bracketed_paste
72	72	-> printf "\e[?2004h"
82	804	> fish_mode_prompt
342	722	-> fish_default_mode_prompt
34	380	--> if test "$fish_key_bindings" = "fish_vi_key_bindings"...
276	276	---> test "$fish_key_bindings" = "fish_vi_key_bindings"
70	70	---> or test "$fish_key_bindings" = "fish_hybrid_key_bindings"
1198	32656	> fish_prompt
112	112	-> set -l last_status $status
15	45	-> if not set -q __fish_git_prompt_show_informative_status...
30	30	--> not set -q __fish_git_prompt_show_informative_status
12	30	-> if not set -q __fish_git_prompt_hide_untrackedfiles...
18	18	--> not set -q __fish_git_prompt_hide_untrackedfiles
10	27	-> if not set -q __fish_git_prompt_color_branch...
17	17	--> not set -q __fish_git_prompt_color_branch
10	27	-> if not set -q __fish_git_prompt_showupstream...
17	17	--> not set -q __fish_git_prompt_showupstream
11	32	-> if not set -q __fish_git_prompt_char_upstream_ahead...
21	21	--> not set -q __fish_git_prompt_char_upstream_ahead
9	25	-> if not set -q __fish_git_prompt_char_upstream_behind...
16	16	--> not set -q __fish_git_prompt_char_upstream_behind
11	26	-> if not set -q __fish_git_prompt_char_upstream_prefix...
15	15	--> not set -q __fish_git_prompt_char_upstream_prefix
12	28	-> if not set -q __fish_git_prompt_char_stagedstate...
16	16	--> not set -q __fish_git_prompt_char_stagedstate
10	25	-> if not set -q __fish_git_prompt_char_dirtystate...
15	15	--> not set -q __fish_git_prompt_char_dirtystate
11	27	-> if not set -q __fish_git_prompt_char_untrackedfiles...
16	16	--> not set -q __fish_git_prompt_char_untrackedfiles
28	69	-> if not set -q __fish_git_prompt_char_conflictedstate...
41	41	--> not set -q __fish_git_prompt_char_conflictedstate
33	47	-> if not set -q __fish_git_prompt_char_cleanstate...
14	14	--> not set -q __fish_git_prompt_char_cleanstate
10	33	-> if not set -q __fish_git_prompt_color_dirtystate...
23	23	--> not set -q __fish_git_prompt_color_dirtystate
7	17	-> if not set -q __fish_git_prompt_color_stagedstate...
10	10	--> not set -q __fish_git_prompt_color_stagedstate
7	16	-> if not set -q __fish_git_prompt_color_invalidstate...
9	9	--> not set -q __fish_git_prompt_color_invalidstate
11	27	-> if not set -q __fish_git_prompt_color_untrackedfiles...
16	16	--> not set -q __fish_git_prompt_color_untrackedfiles
9	26	-> if not set -q __fish_git_prompt_color_cleanstate...
17	17	--> not set -q __fish_git_prompt_color_cleanstate
26	41	-> if not set -q __fish_prompt_normal...
15	15	--> not set -q __fish_prompt_normal
17	17	-> set -l color_cwd
15	15	-> set -l prefix
15	15	-> set -l suffix
21	61	-> switch "$USER"...
23	23	--> set color_cwd $fish_color_cwd
17	17	--> set suffix '$'
31	31	-> set_color $color_cwd
64	562	-> echo -n (prompt_pwd)
155	498	--> prompt_pwd
26	26	---> set -l options 'h/help'
31	31	---> argparse -n prompt_pwd --max-args=0 $options -- $argv
8	19	---> if set -q _flag_help...
11	11	----> set -q _flag_help
15	15	---> set -q fish_prompt_pwd_dir_length
17	17	---> or set -l fish_prompt_pwd_dir_length 1
53	53	---> set realhome ~
65	116	---> set -l tmp (string replace -r '^'"$realhome"'($|/)' '~$1' $PWD)
51	51	----> string replace -r '^'"$realhome"'($|/)' '~$1' $PWD
10	66	---> if [ $fish_prompt_pwd_dir_length -eq 0 ]...
19	19	----> [ $fish_prompt_pwd_dir_length -eq 0 ]
37	37	----> string replace -ar '(\.?[^/]{'"$fish_prompt_pwd_dir_length"'})[^/]*/' '$1/' $tmp
17	17	-> set_color normal
51	29925	-> printf '%s ' (__fish_vcs_prompt)
41	29874	--> __fish_vcs_prompt
543	4074	---> __fish_git_prompt
9	89	----> if not command -sq git...
80	80	-----> not command -sq git
146	3400	----> set -l repo_info (command git rev-parse --git-dir --is-inside-git-dir --is-bare-repository --is-inside-work-tree HEAD ^/dev/null)
3254	3254	-----> command git rev-parse --git-dir --is-inside-git-dir --is-bare-repository --is-inside-work-tree HEAD ^/dev/null
31	31	----> test -n "$repo_info"
11	11	----> or return
355	435	---> __fish_hg_prompt
11	80	----> if not command -sq hg...
60	60	-----> not command -sq hg
9	9	-----> return 1
165	25324	---> __fish_svn_prompt
8	73	----> if not command -sq svn...
65	65	-----> not command -sq svn
91	25045	----> set -l checkout_info (command svn info ^/dev/null)
24954	24954	-----> command svn info ^/dev/null
12	41	----> if [ $status -ne 0 ]...
22	22	-----> [ $status -ne 0 ]
7	7	-----> return
10	106	-> if not test $last_status -eq 0...
14	14	--> not test $last_status -eq 0
82	82	--> set_color $fish_color_error
16	16	-> echo -n "$suffix "
13	13	-> set_color normal
14	14	> echo $_ " "
28	65	> __fish_pwd
37	37	-> pwd
436	1017	> up-or-search
27	217	-> if commandline --search-mode...
190	190	--> commandline --search-mode
20	71	-> if commandline --paging-mode...
51	51	--> commandline --paging-mode
158	215	-> set lineno (commandline -L)
57	57	--> commandline -L
31	78	-> switch $lineno...
47	47	--> commandline -f history-search-backward
78	120	> __fish_disable_bracketed_paste 'cat config.fish '
42	42	-> printf "\e[?2004l"
39	39	> echo $_ " "
76	169	> __fish_pwd
93	93	-> pwd
10301	10301	> cat config.fish
52	105	> __fish_enable_bracketed_paste
53	53	-> printf "\e[?2004h"
78	470	> fish_mode_prompt
206	392	-> fish_default_mode_prompt
16	186	--> if test "$fish_key_bindings" = "fish_vi_key_bindings"...
141	141	---> test "$fish_key_bindings" = "fish_vi_key_bindings"
29	29	---> or test "$fish_key_bindings" = "fish_hybrid_key_bindings"
626	33291	> fish_prompt
39	39	-> set -l last_status $status
10	26	-> if not set -q __fish_git_prompt_show_informative_status...
16	16	--> not set -q __fish_git_prompt_show_informative_status
9	25	-> if not set -q __fish_git_prompt_hide_untrackedfiles...
16	16	--> not set -q __fish_git_prompt_hide_untrackedfiles
9	22	-> if not set -q __fish_git_prompt_color_branch...
13	13	--> not set -q __fish_git_prompt_color_branch
7	20	-> if not set -q __fish_git_prompt_showupstream...
13	13	--> not set -q __fish_git_prompt_showupstream
7	20	-> if not set -q __fish_git_prompt_char_upstream_ahead...
13	13	--> not set -q __fish_git_prompt_char_upstream_ahead
8	20	-> if not set -q __fish_git_prompt_char_upstream_behind...
12	12	--> not set -q __fish_git_prompt_char_upstream_behind
7	19	-> if not set -q __fish_git_prompt_char_upstream_prefix...
12	12	--> not set -q __fish_git_prompt_char_upstream_prefix
8	20	-> if not set -q __fish_git_prompt_char_stagedstate...
12	12	--> not set -q __fish_git_prompt_char_stagedstate
8	20	-> if not set -q __fish_git_prompt_char_dirtystate...
12	12	--> not set -q __fish_git_prompt_char_dirtystate
7	19	-> if not set -q __fish_git_prompt_char_untrackedfiles...
12	12	--> not set -q __fish_git_prompt_char_untrackedfiles
8	19	-> if not set -q __fish_git_prompt_char_conflictedstate...
11	11	--> not set -q __fish_git_prompt_char_conflictedstate
8	20	-> if not set -q __fish_git_prompt_char_cleanstate...
12	12	--> not set -q __fish_git_prompt_char_cleanstate
8	20	-> if not set -q __fish_git_prompt_color_dirtystate...
12	12	--> not set -q __fish_git_prompt_color_dirtystate
7	20	-> if not set -q __fish_git_prompt_color_stagedstate...
13	13	--> not set -q __fish_git_prompt_color_stagedstate
7	19	-> if not set -q __fish_git_prompt_color_invalidstate...
12	12	--> not set -q __fish_git_prompt_color_invalidstate
9	28	-> if not set -q __fish_git_prompt_color_untrackedfiles...
19	19	--> not set -q __fish_git_prompt_color_untrackedfiles
8	20	-> if not set -q __fish_git_prompt_color_cleanstate...
12	12	--> not set -q __fish_git_prompt_color_cleanstate
9	21	-> if not set -q __fish_prompt_normal...
12	12	--> not set -q __fish_prompt_normal
20	20	-> set -l color_cwd
19	19	-> set -l prefix
18	18	-> set -l suffix
25	73	-> switch "$USER"...
27	27	--> set color_cwd $fish_color_cwd
21	21	--> set suffix '$'
36	36	-> set_color $color_cwd
69	648	-> echo -n (prompt_pwd)
164	579	--> prompt_pwd
31	31	---> set -l options 'h/help'
38	38	---> argparse -n prompt_pwd --max-args=0 $options -- $argv
10	24	---> if set -q _flag_help...
14	14	----> set -q _flag_help
13	13	---> set -q fish_prompt_pwd_dir_length
21	21	---> or set -l fish_prompt_pwd_dir_length 1
53	53	---> set realhome ~
92	153	---> set -l tmp (string replace -r '^'"$realhome"'($|/)' '~$1' $PWD)
61	61	----> string replace -r '^'"$realhome"'($|/)' '~$1' $PWD
14	82	---> if [ $fish_prompt_pwd_dir_length -eq 0 ]...
24	24	----> [ $fish_prompt_pwd_dir_length -eq 0 ]
44	44	----> string replace -ar '(\.?[^/]{'"$fish_prompt_pwd_dir_length"'})[^/]*/' '$1/' $tmp
21	21	-> set_color normal
64	31334	-> printf '%s ' (__fish_vcs_prompt)
49	31270	--> __fish_vcs_prompt
647	4349	---> __fish_git_prompt
12	103	----> if not command -sq git...
91	91	-----> not command -sq git
106	3563	----> set -l repo_info (command git rev-parse --git-dir --is-inside-git-dir --is-bare-repository --is-inside-work-tree HEAD ^/dev/null)
3457	3457	-----> command git rev-parse --git-dir --is-inside-git-dir --is-bare-repository --is-inside-work-tree HEAD ^/dev/null
25	25	----> test -n "$repo_info"
11	11	----> or return
336	407	---> __fish_hg_prompt
11	71	----> if not command -sq hg...
51	51	-----> not command -sq hg
9	9	-----> return 1
176	26465	---> __fish_svn_prompt
10	64	----> if not command -sq svn...
54	54	-----> not command -sq svn
105	26170	----> set -l checkout_info (command svn info ^/dev/null)
26065	26065	-----> command svn info ^/dev/null
17	55	----> if [ $status -ne 0 ]...
30	30	-----> [ $status -ne 0 ]
8	8	-----> return
11	32	-> if not test $last_status -eq 0...
21	21	--> not test $last_status -eq 0
21	21	-> echo -n "$suffix "
26	26	-> set_color normal
22	22	> echo $_ " "
32	70	> __fish_pwd
38	38	-> pwd
